abhangig	abhängig
abhangt	abhängt
ahnliche	ähnliche
ahnlichen	ähnlichen
beschrankt	beschränkt
beschrankte	beschränkte
besinden	befinden
besindet	befindet
bestandig	beständig
betragt	beträgt
Bon	Von
Durchgange	Durchgänge
empfangt	empfängt
Entsernung	Entfernung
erhalt	erhält
erklaren	erklären
Erdoberflache	Erdoberfläche
Ercentricität	Excentricität
Excentricitat	Excentricität
fallt	fällt
fo	so
gehaust	gehäuft
hausten	häuften
häusiger	häufiger
Jn	In
Jndeß	Indeß
Jrradiation	Irradiation
Kalte	Kälte
Lange	Länge
langst	längst
Lust	Luft
Machte	Mächte
mir	mit
Mondsinsterniß	Mondfinsterniß
Nachte	Nächte
Nahe	Nähe
naher	näher
nahern	nähern
namlich	nämlich
Oberflache	Oberfläche
Regelmaßigkeit	Regelmäßigkeit
rückgangige	rückgängige
Schisser	Schiffer
sinden	finden
sindet	findet
Sonnensinsterniß	Sonnenfinsterniß
starker	stärker
taglich	täglich
Thcils	Theils
tragt	trägt
Umstanden	Umständen
Ursprünge	Ursprunge
Veranderung	Veränderung
Veranderungen	Veränderungen
Verhaltniß	Verhältniß
Verhaltnisse	Verhältnisse
verrath	verräth
versinstern	verfinstern
versinsterte	verfinsterte
vorläusig	vorläufig
wahrend	während
wahrt	währt
Walle	Wälle
Warme	Wärme
wirst	wirft
zahlte	zählte
Zustanden	Zuständen

